aesthetic,related
Dungeonpunk,"['Aetherpunk', 'Cyberpunk', 'Fantasy', 'Goth', 'Punk']"
Dungeon Synth,"['Black Metal', 'Ancient Y2K', 'Medieval Fantasy']"
Dutch Golden Age,"['American Revolution', 'Baroque', 'Spanish Golden Age', 'Victorian']"
Earthcore,"['Adventurecore', 'Bloomcore', 'Bohemian', 'Cottagecore', 'Hippie', 'Honeycore', 'Naturecore', 'Plant Mom', 'Solarpunk', 'Tuscan Rustic', 'VSCO']"
Earthy Black Girl,"['Bohemian', 'Hippie', 'Art Hoe']"
E-Boy,"['Animecore', 'Art Hoe', 'Dead Inside', 'Drain', 'E-Girl', 'Emo', 'Geek', 'Mallgoth', 'Grunge', 'Nu-Metal', 'Pastel Goth', 'Sadpeople', 'Scene', 'Surf Crush', 'VSCO']"
Eccentric,"['Crackhead', 'Weirdcore', 'Surrealism', 'Dopamine', 'Decora', 'Indie Kid', 'Scene', 'Bastardcore', 'Chaotic Academia', 'Denpa', 'Larpercore', 'Digital Oddity', 'Hipster', 'Clowncore', 'Alternative', 'Whimsigothic', 'Indie']"
Edgy Meme,"['Deep Fried Meme', 'Weirdcore', 'Larpercore', 'Necrotrap', 'Dank Meme Voyage', 'Void-Meme', 'Deep Fried Meme', 'Bastardcore', 'Baddie', 'Traumacore', 'Femcel Weeaboo', 'Busukawaii', 'Arabfunny', 'Xpiritualism', 'Bastardcore']"
E-Girl,"['Animecore', 'Babygirl', 'Drain', 'E-Boy', 'Emo', 'Erokawa', 'Geek', 'Girl Crush', 'Kawaii Gamer', 'Kuromicore', 'Mallgoth', 'Nu-Goth', 'Nu-Metal', 'Pastel Goth', 'PEEPS', 'PSY-OP Girl', 'Sadpeople', 'Scene', 'Sanriocore', 'Soft Grunge', 'VSCO']"
ElectroPop 08,"['Avant-garde', 'Bright Tertiaries', 'Dark Aero', 'Frutiger Aero', 'Frutiger Metro', 'Hipster', 'Hyperpop', 'Indie Sleaze', 'Krushclub', 'McBling', 'Milipili', 'Superflat Pop', 'UrBling', 'Vectorheart', 'VSCO', '80 Thousand', '2K1', '2K7']"
Electro-Eclectic,[]
Electro Swing,"['Belgian New Beat', 'Flapper', 'Lounge']"
Elizabethan England,"['Baroque', 'Rococo']"
ElsaGate,"['Cartooncore', 'Cutecore', 'Deep TikTok', 'Digital Oddity', 'Dollar Store Vernacular', 'Dopamine', 'Edgy Meme', 'EXEcore', 'Funwaacore', 'Kidcore', 'Mind Murder', 'Weirdcore', 'Xpiritualism', 'Bastardcore']"
Emo,"['2000s Virtual Singer', 'Blingeecore', 'Dead Inside', 'E-Boy', 'E-Girl', '2020s E-Kid', 'Goth', 'Goth Punk', 'Grunge', 'Halloween', 'Hipster', 'Incel', 'Krushclub', 'Midwest Emo', 'Necrotrap', 'Nu-Metal', 'Pokem%C3%B3n', 'Punk', 'Scene', 'Tecktonik', 'Teenpunk', 'Larpercore', 'Poppare', 'UrBling']"
English Major,"['Nerd', 'Writer Academia', 'Dark Academia', 'Light Academia']"
English Southern Girl,[]
Equestrian,"['Country', 'Western']"
Ero-Guro,"['Angura', 'Animecore', 'Bondage', 'Breakcore', 'Expressionism', 'Dokukawaii', 'Femcel Weeaboo', 'Gross-Out Horror', 'Grotesque', 'Gurokawa', 'Horror', 'Meatcore', 'Pastel Gore', 'Surrealism', 'Ukiyo-e', 'Visual Kei', 'Weirdcore']"
Erokawa,"['Animecore', 'Kawaii', 'Moe', 'Neko']"
Eshay,"['Ah Beng', 'Baddie', 'Bombardier', 'Cagole', 'Chav', 'Gopnik', 'McBling', 'Scrapper', 'Racaille']"
Espa%C3%B1olada,"['Cani', 'Fanfare', 'Flamenco', 'Lolailo', 'Pijo', 'Romanticism', 'Americana', 'Australiana', 'Kiwiana', 'Vintage Americana']"
Ethereal,"['Angelcore', 'Anime New Moon', 'Auroracore', 'Artcore', 'Baroque', 'Dethereal', 'Warmcore', 'Fairycore', 'Softie', 'Princesscore', 'Princecore', 'Royalcore', 'Classic Lolita', 'Lolita', 'Dreamy', 'Pink Princess', 'Rococo', 'Mori Kei', 'Delicate Sweet', 'Cottagecore']"
Ethereal Death,"['Blingeecore', 'Dethereal', 'Ethereal', 'Sigilkore']"
Ethno-Chic,"['Afro-Victorian', 'Art Hoe', 'Bohemian', 'Country', 'Hippie', 'Tomato Girl Summer', 'Villagecore', 'Wanderlust']"
Europunk,"['Cottagecore', 'Royalcore', 'Steampunk', 'Fantasy', 'Fairy Academia', 'Bloomcore', 'Romanticism', 'Romantic Academia', 'Shabby Chic']"
EXEcore,"['Analog Horror', 'Digital Horror', 'Horror']"
Expressionism,"['Art Academia', 'Avant-garde', 'Ero-Guro', 'New Figuration', 'Nouveau R%C3%A9alisme', 'Zenitism']"
Factory Pomo,"['Constructivism', 'Memphis Design', 'Bauhaus', 'Global Village Coffeehouse', 'Utopian Scholastic', 'Vaporwave']"
Fairy Academia,"['Bloomcore', 'Cottagecore', 'Dark Academia', 'Darkest Academia', 'Fairy Tale', 'Fairycore', 'Naturecore', 'Shabby Chic', 'Studyblr', 'Studyplace', 'Victorian']"
Fairycore,"['Mythpunk', 'Fairy Tale', 'Artcore', 'Art Nouveau', 'Bloomcore', 'Cottagecore', 'Earthcore', 'Ethereal', 'Fairy Academia', 'Fantasy', 'Goblincore', 'Naturecore', 'Nymphet', 'Spriggancore', 'Pixiecore', 'Plant Mom', 'Princesscore', 'Softie', 'Sparklecore', 'Strega', 'Retro Fairycore', 'Romantic Academia', 'Ballet Academia', 'Fairy Grunge', 'Neo-Celtic', 'Tinycore', 'Groundcore', 'FantasY2K']"
Fairy Grunge,"['Cyber Grunge', 'Dark Paradise', 'Fairy Academia', 'Fairycore', 'Goblincore', 'Grunge', 'Hot Topic', 'Kinderwhore', 'Mori Kei', 'Mythpunk', 'Pixiecore', 'Strega', 'Winter Fairy Coquette', 'Twilightcore', 'Female Horror Game Protagonist Fashion', 'FantasY2K']"
Fairy Kei,"['Harajuku Fashion', 'Yume Kawaii', 'Kawaii', 'Decora', 'Cult Party Kei', 'Poppare', 'Unicorncore', 'Soft Countriana', 'Heisei Retro', 'Nostalgiacore']"
Fairy Tale,"['Adventurecore', 'Cottagecore', 'Dark Fantasy', 'Dragoncore', 'Ethereal', 'Fantasy', 'Fairycore', 'Fairy Academia', 'Hermaphroditus', 'Medieval Fantasy', 'Naturecore', 'Princesscore', 'Strega']"
Fanfare,"['Arcadecore', 'Casino', 'Clowncore', 'Cuddle Party', 'Espa%C3%B1olada', 'Glowwave', 'Lolailo', 'Wormcore']"
Fantasy,"['Adventurecore', 'Animecore', 'Bardcore', 'Cartooncore', 'Dark Fantasy', 'Dragoncore', 'Game Night', 'Knightcore', 'Modernisme', 'Rangercore', 'Spanish Golden Age', 'Witchcore', 'Wizardcore']"
Fantasy Astronomy,"['Mad Scientist', 'Science Academia', 'Spacecore', 'Wizardcore']"
FantasY2K,"['Bohemian', 'Camp', 'Cottagecore', 'Ethereal', 'Fairycore', 'Fairy Grunge', 'Fantasy', 'Kinderwhore', 'Medieval Fantasy', 'Mythpunk', 'Pixiecore', 'Twilightcore', 'Whimsigothic', 'Y2K', '2K1']"
Farmer%27s Daughter,"['Cottagecore', 'Coquette', 'Country', 'Tomato Girl Summer', 'Buckle Bunny']"
Fauvism,"['Art Academia', 'Art Nouveau', 'Cubism', 'Impressionism', 'Modernism', 'Post-Impressionism']"
Fe%C3%ADsmo,"['Brutal Industrial', 'Doomer', 'Soviet Brutalism', 'Urbancore']"
Female Horror Game Protagonist Fashion,"['Dark Nymphet', 'Dollette', 'Grunge', 'Fairy Grunge', 'Horror', 'Kawaii']"
Femboy,"['Tomboy', 'Kawaii', 'Manly Men']"
Femcel Weeaboo,"['Animecore', 'Breakcore', 'Cutecore', 'Denpa', 'Doomer', 'Ero-Guro', 'Larpercore', 'Waif', 'Weeaboo', 'Incel', 'Edgy Meme']"
Femme Fatale,"['Coquette', 'Baddie', 'Boujee', 'Bubblegum Bitch', 'Cherry Emoji Twitter', 'Spy Fiction', 'Italian Mafia', 'Old Hollywood', 'Pin-up']"
Feralcore,"['Alien', 'Bastardcore', 'Crackhead', 'Cryptidcore', 'Surreal Memer', 'Weirdcore', 'Goblincore', 'Wormcore']"
Fieldcore,"['Adventurecore', 'Paleocore', 'Cryptidcore']"
Figuration Narrative,"['Art Academia', 'Four Colors', 'New Figuration', 'Nouveau R%C3%A9alisme', 'Pop Art', 'Urbancore']"
Film Noir,"['After Hours', 'Femme Fatale', 'Pin-up', 'Italian Mafia', 'Spy Fiction', 'Heistcore']"
Flamenco,"['Motomami', 'Lolailo', 'Tango', 'Tomato Girl Summer']"
Flapper,"['Americana', 'Art Deco', 'Electro Swing', 'Modernism', 'Old Hollywood', 'Roaring 20s', 'Dark Gatsby']"
Flat Design,"['Bauhaus', 'Corporate', 'Corporate Memphis', 'Cybercore', 'Cyberminimalism', 'Cyberparadism', 'Cyberprep', 'Cyberpunk', 'Frutiger Aero', 'Frutiger Metro', 'Gen X Soft Club', 'Holo', 'Memphis Design', 'Minimalism', 'Neumorphism', 'Neubrutalism', 'Skeuomorphism', 'Vectorheart', 'Word Cloud']"
Flop TikTok,"['Baddie', 'Barbiecore', 'Bimbocore', 'Bubblegum Bitch', 'Deep TikTok', 'McBling', 'VSCO Preppy']"
Floral Academia,"['Bloomcore', 'Cottagecore', 'Green Academia', 'Light Academia', 'Pastel Academia', 'Romantic Academia']"
Folk Punk,"['Punk', 'Hippie', 'Crustpunk', 'Punk', 'Forestpunk', 'Hipster', 'Goblincore']"
Foodie,"['Animecore', 'Coffee House/Cafe', 'Honeycore', 'Kidcore', 'Hallyu', 'Lovecore', 'Milk', 'Peach', 'Peoplehood', 'Picniccore', 'Rainbowcore', 'Tropical', 'Vacation Dadcore']"
Forestpunk,"['Cabincore', 'Cottagecore', 'Cryptidcore', 'Earthcore', 'Gloomcore', 'Mori Kei', 'Mossy', 'Naturecore', 'Neo-Celtic', 'Northerness', 'Solarpunk']"
Fotonight Web,"['Arabfunny', 'Bright Tertiaries', 'Digital Oddity', 'Dollar Store Vernacular', 'Dreamcore', 'Frutiger Aero', 'Frutiger Eco', 'Helvetica Aqua Aero', 'Imaginarium', 'Sextrance', 'Shanzhai', 'Skeuomorphism', 'Weirdcore', 'Xpiritualism']"
Four Colors,"['Bright Tertiaries', 'Corporate', 'Dollar Store Vernacular', 'Figuration Narrative', 'Flat Design', 'Frutiger Aero', 'Frutiger Metro', 'McBling', 'Nintencore', 'Pop Art', 'Superflat Pop', 'Technozen', 'UrBling']"
Freedomcore,"['Americana', 'American Revolution', 'Blingeecore']"
French It Girl,"['Chic Modernist', 'Indie', 'New Spanish Catholic Girl', 'Y%C3%A9-y%C3%A9 Girl']"
French Girly,"['Balletcore', 'Girly (Japanese)', 'Larme Kei', 'Pink Parisian', 'Rococo', 'Jirai Kei']"
French Provincial Style,"['Cottagecore', 'Country', 'Triple Chic', 'Tuscan Rustic']"
Frutiger Aero,"['2000s Virtual Singer', '2010s Internet', 'Abstract Tech', 'Anime New Moon', 'Breakcore', 'Bright Tertiaries', 'Cheiron Crush', 'Chromecore', 'Cleancore', 'Corporate Memphis', 'Cybercore', 'Cyberparadism', 'Cyberprep', 'Dark Aero', 'Dollar Store Vernacular', 'DORFic', 'Dreamcore', 'ElectroPop 08', 'Flat Design', 'Fotonight Web', 'Four Colors', 'Frutiger Aurora', 'Frutiger Eco', 'Frutiger Metro', 'Gen X Soft Club', 'Glassmorphism', 'Helvetica Aqua Aero', 'Hexatron', 'Holo', 'Home 2K', 'Icepunk', 'Imaginarium', 'McBling', 'Memphis Design', 'Minimalism', 'Neumorphism', 'Nintencore', 'Nostalgiacore', 'Renewable Corporate Futurism', 'Seapunk', 'Skeuomorphism', 'Solarpunk', 'Superflat Pop', 'Technoneko2000', 'Technozen', 'Trillwave', 'Tropical', 'Vaporwave', 'Vectorflourish', 'Weirdcore', 'Xpiritualism']"
Frutiger Aurora,"['Abstract Tech', 'Auroracore', 'Cybercore', 'Cyberminimalism', 'Cyberprep', 'Dark Aero', 'Frutiger Aero', 'Frutiger Metro', 'Hexatron', 'Holosexual', 'Metalheart', 'Vectorflourish']"
Frutiger Eco,"['Abstract Tech', 'Bright Tertiaries', 'Cleancore', 'Corporate', 'Cybercore', 'Cyberparadism', 'Cyberprep', 'Dark Aero', 'DORFic', 'Dreamcore', 'Dreamy', 'Ethereal', 'Fotonight Web', 'Frutiger Aero', 'Frutiger Metro', 'Helvetica Aqua Aero', 'Hexatron', 'Imaginarium', 'Metalheart', 'Naturecore', 'Solarpunk', 'Vectorflourish', '2K7']"
Frutiger Metro,"['2000s Virtual Singer', 'Blingeecore', 'Barbiecore', 'Bright Tertiaries', 'Bubblegum Dance', 'Cheiron Crush', 'Corporate Memphis', 'Cyberprep', 'Cyber Stylin%27', 'Dark Aero', 'Disco Polo', 'DORFic', 'ElectroPop 08', 'Emo', 'Flat Design', 'Four Colors', 'Frutiger Aero', 'Frutiger Aurora', 'Frutiger Eco', 'Hands Up', 'Helvetica Aqua Aero', 'Hipness Purgatory', 'Holo', 'Imaginarium', 'McBling', 'Memphis Design', 'Nintencore', 'Raver', 'Scene', 'Scrapbook', 'Shibuya Punk', 'Skeuomorphism', 'Superflat Pop', 'Tecktonik', 'Teenpunk', 'Tropical Disco', 'UrBling', 'Vectorflourish', 'Vectorheart', 'Word Cloud', '2010s Internet', '2K7']"
Funwaacore,"['Arabfunny', 'Deep Fried Meme', 'Dollar Store Vernacular', 'Gra%C5%BCynacore', 'Kidcore', 'Skeuomorphism']"
Furry,"['Animecore', 'Juggalo', 'Kidcore', 'Monstercore', 'Neko', 'Nintencore', 'Pastel Gore', 'Petcore', 'Raver', 'Scene']"
Future Funk,"['Animecore', 'Arcadecore', 'City Pop', 'Disco', 'Kawaii', 'Kawaii Gamer', 'Moe Swag', 'New Wave', 'Nintencore', 'Nostalgiacore', 'Shibuya Punk', 'Synthwave', 'Vaporwave']"
Gabber,"['Bakala', 'Belgian New Beat', 'Breakcore', 'Club', 'Dizela%C5%A1i', 'Dresiarz', 'Gopnik', 'Raver', 'Tecktonik', 'Wixa']"
Gachimuchi,"['Bondage', 'Boy Next Door', 'Camp', 'OtoMAD', 'Pin-up']"
Gadgetpunk,"['Animecore', 'Cartooncore', 'Cyberpunk', 'Science Academia', 'Steampunk', 'Tinkercore']"
Game Night,"['Casino', 'Cuddle Party', 'Geek', 'Kidcore', 'Nerd', 'Nostalgiacore', 'Party Animal']"
Gamercore,"['Cyberdelic', 'Internet Awesomesauce', 'Kawaii Gamer', 'Nintencore', 'Nostalgiacore', 'OtoMAD', 'Sega Uranus', '7 HD', 'Vectorcore']"
Gamine,"['Androgynous', 'Flapper', 'Heroin Chic', 'Tomboy']"
Gangst%C3%A6xtemism,"['Dollar Store Vernacular', 'Gangsta Rap', 'Hip-Hop', 'Memphis Rap', 'Moe Swag', 'Trillwave', 'Urbancore']"
Gangsta Rap,"['Cani', 'Cartelcore', 'Chav', 'Drugcore', 'Gangst%C3%A6xtemism', 'Gopnik', 'Grindhouse', 'Hip-Hop', 'Memphis Rap', 'R%26B', 'Riotwave', 'Shiny Suit 97', 'Stripcore', 'Urbancore', 'UrBling']"
Galician Sentimentalism,"['Avant-garde', 'New Figuration']"
Gardencore,"['Bloomcore', 'Goblincore', 'Green Academia', 'Soggy', 'Groundcore', 'Fairycore', 'Tinycore', 'Salvagepunk']"
Geek,"['Animecore', 'Cartooncore', 'Fantasy', 'Game Night', 'Hacker', 'Kidcore', 'Otaku', 'Nerd', 'Normcore', 'Weirdcore']"
Gesugao,"['Animecore', 'DarkErrorcore', 'Devilcore', 'Horror', 'Vampire', 'Violencecore', 'Yandere']"
Gen X Soft Club,"['Breakcore', 'Britpop', 'Cybercore', 'Flat Design', 'Frutiger Aero', 'Global Village Coffeehouse', 'Holosexual', 'Lo-Fi', 'Metalheart', 'Minimalism', 'Milipili', 'MTV Green Sky', 'Neubrutalism', 'Raver', 'Renewable Corporate Futurism', 'Technozen', 'Urbancore', 'UrBling', 'Vectorheart']"
Gen Z Maximalism,"['Decora', 'Dopamine', 'Home 2K', 'Kidcore', 'Memphis Design', 'LOLcore', 'Scene']"
Ghostcore,"['Coffinwood', 'Cottagegore', 'Cryptidcore', 'Dark Naturalism', 'Dullcore', 'Ethereal', 'Goth', 'Goblincore', 'Gloomcore', 'Horror', 'Voidpunk', 'Weirdcore']"
Girl Crush,"['Alternative', 'E-Girl', 'Hallyu', 'Techwear', 'Tomboy']"
Girl-Next-Door,"['2014 Tumblr', 'Americana', 'Boy Next Door', 'Girly Girl', 'Nymphet', 'Softie']"
Girly Girl,"['2014 Girly', 'Balletcore', 'Barbiecore', 'Bimbocore', 'Bubblegum Bitch', 'Bubblegum Coquette', 'Coconut Girl', 'Coquette', 'Cyber Stylin%27', 'Dollette', 'French Girly', 'Femboy', 'Girly (Japanese)', 'Kawaii', 'Larme Kei', 'Lolita', 'Manly Men', 'Pink Pilates Princess', 'Pink Princess', 'Shoe Diva', 'Sweet Lolita', 'Teenqueen', 'Tomboy', 'Triple Chic', 'Tweencore']"
Girly (Japanese),"['Dollcore', 'French Girly', 'Girly Girl', 'Girl-Next-Door', 'Gyaru', 'Jirai Kei', 'Kawaii', 'Kuromicore', 'Larme Kei', 'Lolita', 'Melodycore', 'Mote Kei', 'Wota', 'Softie']"
GiscardPunk,"['Cassette Futurism', 'Retro-Futurism', 'Cyberpunk', 'Modernism', 'Nostalgiacore', 'Politicalwave', 'Pixel UI', 'Webcore']"
Glam Girl,"['Baddie', 'Boujee', 'Cherry Emoji Twitter', 'Chic Modernist', 'Femme Fatale', 'Pearly']"
Glamorous Los Angeles,"['Bubblegum Bitch', 'Boujee', 'Baddie', 'Femme Fatale']"
Glam Rock,"['Alternative', 'Androgynous', 'Britpop', 'Camp', 'Deathrock', 'Drugcore', 'Goth', 'Hair Metal', 'Metal', 'New Romantic', 'Post-Punk', 'Punk', 'Rock', 'Scene', 'Trad Goth', 'Vaporwave', 'Visual Kei']"
Glassmorphism,"['Abstract Tech', 'Flat Design', 'Frutiger Aero', 'Holo', 'Neumorphism', 'Neubrutalism', 'Skeuomorphism']"
Glitchcore,"['Animecore', 'Breakcore', 'Hyperpop', 'Kidcore', 'Krushclub', 'Mind Murder', 'Rainbowcore', 'Scene', 'Synthwave', 'Vaporwave']"
Global Village Coffeehouse,"['Bohemian', 'Corporate Memphis', 'Factory Pomo', 'Flat Design', 'Grunge', 'Memphis Lite', 'Minimalism', 'Soft Colonial Wanderlust', 'Utopian Scholastic', 'Vaporwave']"
Gloomcore,"['Cryptidcore', 'Dark Naturalism', 'Dullcore', 'Goblincore', 'Mossy', 'Naturecore', 'Ocean Grunge', 'Rainy Day', 'Cottagegore', 'Soggy']"
Glowwave,"['Acidwave', 'Acid Pixie', 'Alien', 'Arcadecore', 'Biopunk', 'Cartelcore', 'Club', 'Cuddle Party', 'Cyberdelic', 'Cybergoth', 'Cyberpop', 'Cyberprep', 'Cyberpunk', 'Diner', 'Dokukawaii', 'Dreamy', 'Fanfare', 'Glitchcore', 'Heatwave', 'Hippie', 'Kidcore', 'Lo-Fi', 'Nintencore', 'Nostalgiacore', 'Party Animal', 'Poolcore', 'Psychedelica', 'Rainbowcore', 'Raver', 'Reefwave', 'Retro-Futurism', 'Scene', 'Seapunk', 'Slimepunk', 'Spacecore', 'Stripcore', 'Synthwave', 'Toxiccore', 'Trashy Raver', 'Vaporwave', 'Webcore']"
Goblin Academia,"['Cottagecore', 'Dark Academia', 'Goblincore', 'Fairy Academia', 'Light Academia']"
Goblincore,"['Adventurecore', 'Cottagecore', 'Crackhead', 'Crowcore', 'Dragoncore', 'Earthcore', 'Miniature', 'Green Academia', 'Naturecore', 'Soggy', 'Vulture Culture', 'Witchcore', 'Feralcore']"
Golden Age of Detective Fiction,"['Old Money', 'Dark Academia', 'Gothic', 'Spy Fiction']"
Golden Hour,"['After Hours', 'Dreamy', 'Lo-Fi', 'Naturecore', 'Summer', 'Tropical', 'Warmcore', 'Vaporwave', 'VSCO']"
Goofcore,"['Cartooncore', 'Clowncore', 'LOLcore', 'Randumb', 'Silly']"
Googie,"['Art Deco', 'Atompunk', 'Cassette Futurism', 'Cyberpop', 'Cybervillain', 'Dieselpunk', 'Diner', 'Lounge', 'Psychedelica', 'Retro-Futurism', 'Rocketpunk', 'Surrealism']"
Gopnik,"['Bombardier', 'Cani', 'Chav', 'Cocalar', 'Dizela%C5%A1i', 'Dresiarz', 'Gangsta Rap', 'Racaille', 'Wixa']"
Gorecore,"['Balkan Violence Tumblr', 'Catholic Horror', 'Devilcore', 'Ero-Guro', 'Goth Punk', 'Grotesque', 'Gurokawa', 'Horror', 'Meatcore', 'Necrotrap', 'Pastel Gore', 'Revcore', 'Vampire', 'Violencecore', 'Weirdcore']"
Gorpcore,"['Cabincore', 'Cottagecore', 'Earthcore', 'Hikecore', 'Naturecore', 'Normcore', 'Techwear']"
Goth,"['Deathrock', 'Glam Rock', 'Post-Punk', 'Punk', 'Shoegaze', 'Aristocrat', 'Dead Inside', 'Emo', 'Trad Goth', 'Belgian New Beat', 'Bubble Goth', 'Cybergoth', 'Darkest Academia', 'Gothic', 'Goth Punk', 'Nu-Goth', 'PEEPS', 'Poppare', 'Punk', 'Romantic Goth', 'Southern Gothic', 'Strega', 'Synthwave', 'New Romantic', 'Glam Rock']"
Gothcore,"['Devilcore', 'Emo', 'Goth', 'Metalcore', 'Punk', 'Vampire', 'Witchcore']"
Gothic,"['Aristocrat', 'Artcore', 'Catholic Horror', 'Dark Academia', 'Darkest Academia', 'Goth', 'Horror', 'Modernisme', 'American Gothic', 'Regional Gothic', 'Romanticism', 'Vampire']"
Gothic Lolita,"['Aristocrat', 'Classic Lolita', 'Goth', 'Lolita', 'Romantic Goth', 'Strega', 'Sweet Lolita', 'Trad Goth', 'Victorian', 'Victorian Goth', 'Visual Kei']"
Goth Punk,"['Animecore', 'Blingeecore', 'Emo', 'Goth', 'PEEPS', 'Punk', 'Visual Kei']"
Grandmillenial,"['Preppy', 'Soft Countriana', 'Coastal Grandmother', 'Grandparentcore']"
Grandparentcore,"['Bloomcore', 'Coastal Grandmother', 'Cottagecore', 'Craftcore', 'Foodie', 'Gra%C5%BCynacore', 'LOLcore', 'Peoplehood', 'Tomato Girl Summer']"
Grasscore,"['Liminal Space', 'Surrealism', 'Naturecore', 'Weirdcore']"
Gra%C5%BCynacore,"['Blingeecore', 'Disco Polo', 'Dollar Store Vernacular', 'Edgy Meme', 'Funwaacore', 'Lilac Femme', 'Live Laugh Love', 'Nostalgiacore', 'Wholesome Meme']"
Greaser,"['Americana', 'Flapper', 'Old Hollywood', 'Punk', 'Rockabilly', 'Scrapper']"
Green Academia,"['Campcore', 'Dark Academia', 'Earthcore', 'Hikecore', 'Light Academia', 'Naturecore', 'Plant Mom', 'Vulture Culture']"
Grifes,"['Luxury', 'Baddie', 'Boujee', 'New Money', 'Casino']"
Grime Art,"['Caricaturism', 'Corporate Memphis', 'Grotesque', 'Hip-Hop', 'Horror', 'Psychedelica', 'Surrealism', 'Urbancore', 'Vaporwave', 'Zombie Apocalypse']"
Grindhouse,"['Gangsta Rap', 'Horror', 'Rollerwave']"
Gross-Out Horror,"['Ero-Guro', 'Gorecore', 'Horror', 'Xpiritualism']"
Grotesque,"['Dreamcore', 'Ero-Guro', 'Gorecore', 'Grime Art', 'Gross-Out Horror', 'Halloween', 'Horror', 'Monstercore', 'Necrotrap', 'Revcore', 'Weirdcore', 'Xpiritualism']"
Groundcore,"['Naturecore', 'Adventurecore', 'Soggy', 'Junglecore', 'Summer', 'Spring', 'Golden Hour', 'Forestpunk', 'Bloomcore', 'Earthcore', 'Salvagepunk', 'Miniature', 'Tinycore', 'Fairycore']"
Grunge,"['Alternative', 'Antique Grunge', 'Bastardcore', 'Bleak Crush', 'Fairy Grunge', 'Hair Metal', 'Heroin Chic', 'Indie', 'Kinderwhore', 'Krushclub', 'Metal', 'Memphis Design', 'Minivan Rock', 'Cyber Grunge', 'Motomami', 'MTV 2 Overcast', 'Neo-Tribal', 'Nu-Metal', 'Ocean Grunge', 'Pale Grunge', 'Punk', 'Scrapper', 'Soft Grunge', 'Thriftcore', 'Urbancore', 'UrBling', 'Y2K', '2014 Tumblr']"
Gurokawa,"['Busukawaii', 'Decora', 'Dokukawaii', 'Ero-Guro', 'Halloween', 'Horror', 'Pastel Gore', 'Pastel Goth', 'Yami Kawaii', 'Superflat Pop', 'Cutecore']"
Gyaru,"['Bodikon', 'Kogal', 'Heisei Retro', 'Sukeban', 'McBling', 'Cagole', 'Choni', 'PEEPS', 'Raxet']"
Hacker,"['Web Creep', 'Cybervillain', 'Cyberneticpunk', 'Larpercore', 'Techwear', 'Cyberpunk', 'Glitchcore', 'Incel', 'Digital Oddity', 'Abstract Tech', 'Vectorcore']"
Harajuku Fashion,"['Alternative', 'Cult Party Kei', 'Cyberpop', 'Decora', 'Fairy Kei', 'Goth', 'Kawaii', 'Lolita', 'Oshare Kei', 'Rock', 'Sanriocore', 'Shibuya Punk', 'Takenokozoku', 'Urbancore', 'Visual Kei', 'Yami Kawaii']"
Hair Metal,"['Drugcore', 'Glam Rock', 'Metal', 'Punk', 'Scene', 'Stripcore', 'Ultraviolet Crush', 'Visual Kei']"
Hands Up,"['2010s Internet', 'Anime New Moon', 'Bakala', 'Breakcore', 'Bubblegum Dance', 'Club', 'Disco', 'Frutiger Metro', 'Hi-NRG', 'Italo Disco', 'Krushclub', 'Poster Gal', 'Raver', 'Scene', 'Technoneko2000', 'Tecktonik', 'Wixa', 'Xpiritualism', 'Y2K']"
Halloween,"['Autumn', 'D%C3%ADa De Los Muertos', 'Gurokawa', 'Horror', 'Kidcore', 'Neo-Celtic', 'Saint Patrick%27s Day', 'Vampire', 'Witchcore']"
Hallyu,"['Androgynous', 'Girl Crush', 'New Romantic', 'Synthwave', 'Babygirl', 'Softie', 'Ulzzang']"
Happycore,"['Craftcore', 'Cuddle Party', 'Comfy/Cozy', 'Lo-Fi', 'Nostalgiacore', 'Rainbowcore', 'Scrapbook', 'Tweencore', 'Warmcore', 'Kawaii', 'Dreamcore', 'Kidcore', 'Traumacore', 'Queercore', 'Wholesome Meme']"
Hatecore,"['Punk', 'Skinheads', 'Nazi Chic', 'Necrotrap', 'Larpercore']"
Hauntology,"['Liminal Space', 'Lo-Fi', 'Nostalgiacore', 'Soft Macabre', 'Vaporwave']"
Haute Couture,"['Boujee', 'Glam Girl', 'Luxury', 'New Money', 'Night Luxe', 'Pearly']"
Haussmann Paris,['Pink Parisian']
Health Goth,"['Cyberparadism', 'Goth', 'Minimalism']"
Heatwave,"['Desertwave', 'Glowwave', 'Golden Hour', 'Naturecore', 'Summer', 'Tropical', 'Warmcore']"
Heisei Retro,"['Cybercore', 'Gyaru', 'Kawaii', 'Shoujo', 'Y2K', 'Tweencore']"
Heistcore,"['Old Money', 'Golden Age of Detective Fiction']"
Hellenic,"['Angelcore', 'Classicism', 'Dionysism', 'Hermaphroditus', 'Hollywood Regency', 'Lovecore', 'Neoclassicism', 'Noucentisme', 'Witchy Academia', 'Witchcore']"
Helvetica Aqua Aero,"['Abstract Tech', 'Bright Tertiaries', 'Cleancore', 'Coconut Girl', 'Corporate', 'Cybercore', 'Cyberprep', 'Dreamcore', 'Fotonight Web', 'Frutiger Aero', 'Frutiger Eco', 'Frutiger Metro', 'Kidcore', 'MS Paint', 'Reefwave', 'Seapunk', 'Silicon Dreams', 'Tropicalcore', 'Vectorflourish']"
Hermaphroditus,"['Angelcore', 'Artcore', 'Classicism', 'Dreamy', 'Ethereal', 'Fairy Tale', 'Fantasy', 'Hellenic', 'New Age', 'Softie']"
